country,year,CO2_intensity_GDP,CO2_per_capita_tCO2e,GDP_constant_2015USD,GDP_per_capita_2015USD,GHG_per_capita_tCO2e,GHG_total_MtCO2e,agri_land_pct,agriculture_pct_GDP,energy_use_pc,forest_area_pct,freshwater_withdrawal_pct,industry_pct_GDP,population,renewable_elec_pct,renewable_energy_pct,urban_pop_pct
Brunei Darussalam,1990,0.381256564551525,16.84384939598577,11278756616.448664,44179.82786945405,22.921203954687183,5.8516,2.4667931688804554,0.5746920282191975,6766.2026581316295,78.36812144212524,0.8941176470588236,76.27594502882204,255292.0,0.0,0.7,65.7496054461515
Brunei Darussalam,1991,0.4229931983945156,18.696781367576047,11607042426.769333,44201.139494772695,24.27150451644351,6.3736,2.4667931688804554,0.5909844401149649,7438.262037616833,78.06451612903226,0.8941176470588236,74.13646084287231,262596.0,0.0,0.4,66.5029745122162
Brunei Darussalam,1992,0.4767968553111172,19.869255370795177,11244830875.617962,41672.370841938944,24.411593579875408,6.5872,2.4667931688804554,0.6454616506703476,7783.232735908931,77.76091081593928,0.9568627411764704,71.14843706837429,269839.0,0.0,0.2,67.1218123459373
Brunei Darussalam,1993,0.4842674369039607,19.536341349816404,11173578043.144585,40342.0504065212,24.93510150882222,6.9063,2.4667931688804554,0.7448693947207491,7299.532662924277,77.4573055028463,1.0196078470588237,68.20434641650183,276971.0,0.0,0.0,67.7094708825572
Brunei Darussalam,1994,0.4868624217087759,19.33887381156038,11284502058.54318,39721.43453521295,24.777976071047657,7.0392,2.4667931688804554,0.8562516086868625,6603.0665790986695,77.15370018975332,1.0823529411764703,64.70932351885718,284091.0,0.0,0.0,68.272763683326
Brunei Darussalam,1995,0.5083619080407125,19.96565875100877,11436537451.060144,39274.49802043353,25.152904411133434,7.3244,2.2770398481973437,0.7259552891175463,7718.414711291196,76.85009487666035,1.0823529411764703,67.15702651670516,291195.0,0.0,0.0,68.8131879002755
Brunei Darussalam,1996,0.5341974202150506,20.476672611943304,11433413507.57785,38331.65761770256,25.79121350695329,7.6929,2.2770398481973437,0.8924744570821028,7585.308657026781,76.54648956356736,1.0823529411764703,64.63902370126546,298276.0,0.0,0.0,69.3322406854373
Brunei Darussalam,1997,0.5347016558634862,21.29193262614585,12158742971.35118,39820.21075240855,26.862098440759677,8.2021,2.2770398481973437,0.9436205971748238,7652.680694325885,76.24288425047439,1.0823529411764703,67.30604567178413,305341.0,0.0,0.0,69.8314191908431
Brunei Darussalam,1998,0.5060393030596394,18.38500568209101,11349316081.330414,36331.1813349886,24.55463610608704,7.6705,2.2770398481973437,1.1503484372879085,7448.312776178273,75.9392789373814,1.0823529411764703,61.42538563626094,312385.0,0.0,0.0,70.3122205685247
Brunei Darussalam,1999,0.5077716122394074,18.810873764522825,11832878906.919125,37045.9342568638,25.5291771416764,8.1543,2.2770398481973437,1.0805572265961247,7427.447777382838,75.63567362428843,1.0823529411764703,64.1790891245916,319411.0,0.0,0.0,70.7761419705137
Brunei Darussalam,2000,0.4961437076309957,18.61015121437149,12244033143.15154,37509.59838477423,25.99747567580815,8.4862,2.2770398481973437,1.0687905845391843,7306.508055055878,75.33206831119544,1.0823529411764703,66.2665822504809,326424.0,0.0,0.0,71.2246805488418
Brunei Darussalam,2001,0.4718301618544897,17.584784532541363,12423538115.835318,37269.30992165869,26.18848340308089,8.7298,2.4667931688804554,1.1881926707619896,6624.4457024400845,75.00948766603416,1.0823529411764703,62.747589235094416,333345.0,0.0,0.0,71.657883335906
Brunei Darussalam,2002,0.4303370888980506,16.34259436222982,12915688987.515429,37976.26275736014,23.22176777938189,7.8977,2.4667931688804554,1.1544900114217511,6344.709536021835,74.68690702087287,1.0823529411764703,63.0811813132522,340099.0,0.0,0.0,72.1021556496525
Brunei Darussalam,2003,0.4823331066064356,18.61572769208134,13378513545.132423,38595.16885137023,25.710180967409716,8.9121,2.4667931688804554,1.2372583372264965,7227.934614691479,74.36432637571157,1.0823529411764703,66.48449847295564,346637.0,0.0,0.0,72.577635652792
Brunei Darussalam,2004,0.4681127767457094,17.764252176894455,13392499225.471018,37948.65908251944,23.831220902720517,8.4103,2.4667931688804554,1.1704948086428266,6509.413756876266,74.04174573055028,1.0823529411764703,70.19104523054878,352911.0,0.0,0.0,73.0675067339261
Brunei Darussalam,2005,0.4487165381317113,16.74263615999287,13391973527.474766,37312.27787971215,22.542321880328544,8.0908,2.4667931688804554,0.974611267785546,6180.901861343266,73.719165085389,1.0823529411764703,73.15300516913604,358916.0,0.0,0.0,73.552870858133
Brunei Darussalam,2006,0.6180047281279663,23.625923112572437,13940831854.309124,38229.35656841831,31.052231786608463,11.3236,2.333965844402277,0.754742504053329,8644.256133773977,73.39658444022771,1.0823529411764703,74.92626153785041,364663.0,0.0,0.0,74.0148299904911
